~Diameters
73;59
73;62
88.9;76
100;80
101.6;88.6
114.3;100.3
114.3;96.3
114.3;98.3
114.3;100.3
114.3;102.3
127;109
127;111
127;113
127;115
139.7;117.7
139.7;119.7
139.7;121.7
139.7;123.7
139.7;125.7
139.7;127.7
146;124
146;126
146;128
146;130
146;132
146;133
168;140.3
168;144.3
168;146.3
168;148.3
168;150.3
168.3;140.3
168.3;144.3
168.3;146.3
168.3;148.3
168.3;150.3
168.3;152.3
168.3;154.3
168.3;155.3
177.8;149.8
177.8;153.8
177.8;155.8
177.8;157.8
177.8;159.8
177.8;161.8
177.8;163.8
193.7;165.7
193.7;169.7
193.7;173.7
193.7;175.7
193.7;177.7
219.1;195.1
219.1;199.1
219.1;201.1
219.1;203.1
219.1;205.1
244.4;216.5
244.4;220.5
244.4;224.5
244.4;226.5
244.4;228.5
244.4;230.5
273.1;249.1
273.1;253.1
273.1;255.1
273.1;257.1
273.1;259.1
